Value Date,HY Excess Return
2018-10-23,-1.137223
2018-10-22,-0.676336
2018-10-19,-0.656102
2018-10-18,-0.704591
2018-10-17,-0.430066
2018-10-16,-0.467498
2018-10-15,-0.61769
2018-10-12,-0.765011
2018-10-11,-0.912847
2018-10-10,-0.657511
2018-10-09,-0.321484
2018-10-08,
2018-10-05,0.014202
2018-10-04,0.137742
2018-10-03,0.495748
2018-10-02,0.228
2018-10-01,0.255801
2018-09-28,1.038291
2018-09-27,1.004411
2018-09-26,0.943382
2018-09-25,1.020333
2018-09-24,0.980754
2018-09-21,0.988043
2018-09-20,1.005453
2018-09-19,1.026836
2018-09-18,0.982233
2018-09-17,0.811196
2018-09-14,0.773582
2018-09-13,0.622817
2018-09-12,0.476807
2018-09-11,0.40696
2018-09-10,0.196067
2018-09-07,0.129652
2018-09-06,-0.079005
2018-09-05,0.026291
2018-09-04,0.137056
2018-09-03,0.0
2018-08-31,0.139193
2018-08-30,0.22733
2018-08-29,0.35197
2018-08-28,0.340286
2018-08-27,0.206324
2018-08-24,0.055286
2018-08-23,-0.019244
2018-08-22,-0.048017
2018-08-21,-0.069773
2018-08-20,-0.240873
2018-08-17,-0.150122
2018-08-16,-0.182095
2018-08-15,-0.341371
2018-08-14,-0.082149
2018-08-13,-0.169852
2018-08-10,-0.177417
2018-08-09,0.230141
2018-08-08,0.351465
2018-08-07,0.362248
2018-08-06,0.099554
2018-08-03,0.050395
2018-08-02,0.073486
2018-08-01,0.129485
2018-07-31,1.281656
2018-07-30,1.208763
2018-07-27,1.13644
2018-07-26,1.141231
2018-07-25,0.904925
2018-07-24,0.90299
2018-07-23,0.855802
2018-07-20,0.593555
2018-07-19,0.482418
2018-07-18,0.586095
2018-07-17,0.521059
2018-07-16,0.484301
2018-07-13,0.396039
2018-07-12,0.419458
2018-07-11,0.262634
2018-07-10,0.428836
2018-07-09,0.222376
2018-07-06,-0.081435
2018-07-05,-0.114974
2018-07-04,
2018-07-03,-0.188213
2018-07-02,-0.183292
2018-06-29,0.401055
2018-06-28,0.330812
2018-06-27,0.556983
2018-06-26,0.855455
2018-06-25,0.902965
2018-06-22,1.14384
2018-06-21,1.130221
2018-06-20,1.291531
2018-06-19,1.113118
2018-06-18,1.302871
2018-06-15,1.325821
2018-06-14,1.363643
2018-06-13,1.38567
2018-06-12,1.163087
2018-06-11,1.061485
2018-06-08,0.859168
2018-06-07,0.875007
2018-06-06,0.889785
2018-06-05,0.602816
2018-06-04,0.605103
2018-06-01,0.33623
2018-05-31,-0.653142
2018-05-30,-0.698227
2018-05-29,-1.090664
2018-05-28,
2018-05-25,-0.235771
2018-05-24,-0.023957
2018-05-23,0.042404
2018-05-22,0.363102
2018-05-21,0.326833
2018-05-18,0.288135
2018-05-17,0.507179
2018-05-16,0.547989
2018-05-15,0.521828
2018-05-14,0.410344
2018-05-11,0.294959
2018-05-10,0.255873
2018-05-09,0.222636
2018-05-08,0.083751
2018-05-07,0.028878
2018-05-04,-0.093626
2018-05-03,-0.136405
2018-05-02,0.037391
2018-05-01,0.011478
2018-04-30,1.207994
2018-04-27,1.271677
2018-04-26,1.316895
2018-04-25,1.215417
2018-04-24,1.392605
2018-04-23,1.606937
2018-04-20,1.692135
2018-04-19,1.661034
2018-04-18,1.901818
2018-04-17,1.660003
2018-04-16,1.542731
2018-04-13,1.35172
2018-04-12,1.202671
2018-04-11,0.861865
2018-04-10,0.833096
2018-04-09,0.479898
2018-04-07,
2018-04-06,0.336076
2018-04-05,0.485893
2018-04-04,0.080112
2018-04-03,0.04214
2018-04-02,-0.180127
2018-03-30,-1.143274
2018-03-29,-1.143274
2018-03-28,-1.080305
2018-03-27,-1.005556
2018-03-26,-0.924791
2018-03-23,-0.997772
2018-03-22,-0.81518
2018-03-21,-0.456918
2018-03-20,-0.520501
2018-03-19,-0.599059
2018-03-16,-0.455006
2018-03-15,-0.547154
2018-03-14,-0.504934
2018-03-13,-0.302998
2018-03-12,-0.226432
2018-03-09,-0.159771
2018-03-08,-0.311173
2018-03-07,-0.286231
2018-03-06,-0.203016
2018-03-05,-0.366294
2018-03-02,-0.573547
2018-03-01,-0.442878
2018-02-28,-0.517181
2018-02-27,-0.429055
2018-02-26,-0.581437
2018-02-23,-0.810666
2018-02-22,-0.656503
2018-02-21,-0.40161
2018-02-20,-0.505724
2018-02-19,
2018-02-16,-0.675158
2018-02-15,-0.933441
2018-02-14,-1.276221
2018-02-13,-1.570173
2018-02-12,-1.315842
2018-02-09,-1.752971
2018-02-08,-0.910556
2018-02-07,-0.481872
2018-02-06,-0.947908
2018-02-05,-0.55944
2018-02-02,-0.073001
2018-02-01,0.043537
2018-01-31,1.493645
2018-01-30,1.413314
2018-01-29,1.612031
2018-01-26,1.630747
2018-01-25,1.44547
2018-01-24,1.50976
2018-01-23,1.364674
2018-01-22,1.381101
2018-01-19,1.266315
2018-01-18,1.231721
2018-01-17,1.250993
2018-01-16,1.164196
2018-01-15,
2018-01-12,1.101728
2018-01-11,1.000869
2018-01-10,0.983322
2018-01-09,1.177092
2018-01-08,1.0419
2018-01-05,0.965981
2018-01-04,0.781447
2018-01-03,0.475503
2018-01-02,0.249971
2017-12-29,0.225932
2017-12-28,0.276035
2017-12-27,0.172377
2017-12-26,0.276634
2017-12-25,
2017-12-22,0.281948
2017-12-21,0.243811
2017-12-20,0.229581
2017-12-19,0.175841
2017-12-18,0.009023
2017-12-15,-0.061888
2017-12-14,-0.112019
2017-12-13,-0.091153
2017-12-12,0.134369
2017-12-11,0.054906
2017-12-08,-0.035021
2017-12-07,-0.063005
2017-12-06,-0.11966
2017-12-05,0.054852
2017-12-04,0.063074
2017-12-01,-0.13301
2017-11-30,-0.020873
2017-11-29,-0.197424
2017-11-28,-0.330694
2017-11-27,-0.344633
2017-11-24,-0.348855
2017-11-23,
2017-11-22,-0.461403
2017-11-21,-0.371652
2017-11-20,-0.520301
2017-11-17,-0.704286
2017-11-16,-0.755031
2017-11-15,-1.332539
2017-11-14,-0.93327
2017-11-13,-0.661717
2017-11-10,-0.673132
2017-11-09,-0.846277
2017-11-08,-0.485732
2017-11-07,-0.262189
2017-11-06,-0.147148
2017-11-03,-0.067618
2017-11-02,-0.07306
2017-11-01,0.063731
2017-10-31,0.511894
2017-10-30,0.467994
2017-10-27,0.613236
2017-10-26,0.751751
2017-10-25,0.716383
2017-10-24,0.787802
2017-10-23,0.708564
2017-10-20,0.674427
2017-10-19,0.440061
2017-10-18,0.479755
2017-10-17,0.299145
2017-10-16,0.240756
2017-10-13,0.045974
2017-10-12,0.18618
2017-10-11,0.28813
2017-10-10,0.253411
2017-10-09,
2017-10-06,0.282445
2017-10-05,0.231367
2017-10-04,0.10358
2017-10-03,0.050419
2017-10-02,0.055065
2017-09-29,1.425331
2017-09-28,1.276306
2017-09-27,1.254929
2017-09-26,1.061733
2017-09-25,0.952371
2017-09-22,0.999353
2017-09-21,1.05641
2017-09-20,1.075408
2017-09-19,0.870186
2017-09-18,0.77023
2017-09-15,0.615159
2017-09-14,0.565329
2017-09-13,0.475833
2017-09-12,0.370013
2017-09-11,0.195658
2017-09-08,-0.07179
2017-09-07,-0.005267
2017-09-06,0.130625
2017-09-05,-0.077991
2017-09-04,
2017-09-01,0.174955
2017-08-31,-0.671584
2017-08-30,-0.752513
2017-08-29,-0.871267
2017-08-28,-0.797201
2017-08-25,-0.829473
2017-08-24,-0.866874
